FIPS,Geography,2017 Population,2017 Median Age,2017 Total households,2017 Median HHIncome,2017 Average household size,2017 Total families,2017 Average family size,2017 Percent owner-occupied housing units,2017 Percent renter-occupied housing units,2017 Population 16 years and over,2017 Unemployment rate (Population 16 years and over)
38500,"Plymouth, IN Micro Area",46752,39.8,17249,51869,2.67,12022,3.24,75.5,24.5,36164,6.8
38540,"Pocatello, ID Metro Area",84113,33.2,30790,47390,2.66,20461,3.23,68.9,31.1,64109,6.3
38580,"Point Pleasant, WV-OH Micro Area",57203,42.1,22599,40516,2.46,15571,2.98,76.4,23.6,46112,6.6
38620,"Ponca City, OK Micro Area",45173,38.6,17890,44067,2.47,11215,3.12,68.9,31.1,35160,6.9
38700,"Pontiac, IL Micro Area",36812,41.6,14379,54339,2.38,9515,2.9,72.6,27.4,29742,5.5
38740,"Poplar Bluff, MO Micro Area",42826,40.3,16550,37878,2.53,11126,3.07,63.3,36.7,33950,9.2
38820,"Port Angeles, WA Micro Area",73439,50.5,32280,48002,2.24,19472,2.74,69.6,30.4,62110,8.8
38840,"Port Clinton, OH Micro Area",40769,48.3,17495,56193,2.28,11836,2.74,78.2,21.8,34008,4.9
38920,"Port Lavaca, TX Micro Area",21821,37.7,7733,58788,2.79,5412,3.32,70.6,29.4,16980,6.3
38940,"Port St. Lucie, FL Metro Area",454482,47.1,173540,50045,2.58,113097,3.2,73.8,26.2,377764,7.2
38780,"Portales, NM Micro Area",19313,29.7,7125,35928,2.54,4337,3.26,61.2,38.8,15000,10.7
38860,"Portland-South Portland, ME Metro Area",525776,43.4,217941,63992,2.36,137083,2.89,71.4,28.6,435957,4.3
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2382037,37.8,912368,66657,2.57,582340,3.13,61.5,38.5,1910928,6.2
39020,"Portsmouth, OH Micro Area",76871,39.8,30204,38978,2.43,19022,2.99,67.8,32.2,62005,7.9
39060,"Pottsville, PA Micro Area",144287,44.2,58758,47642,2.33,38216,2.89,74.8,25.2,119246,6.9
39140,"Prescott, AZ Metro Area",220972,52.2,94343,48259,2.29,59801,2.8,70.7,29.3,187588,7.3
39220,"Price, UT Micro Area",20512,36.4,7841,46994,2.55,5096,3.19,72.8,27.2,15619,5.4
39260,"Prineville, OR Micro Area",21717,48.0,9330,41777,2.31,6076,2.78,67.4,32.6,18075,8.3
39300,"Providence-Warwick, RI-MA Metro Area",1613154,40.2,627931,61536,2.48,400567,3.09,60.9,39.1,1325646,6.9
39340,"Provo-Orem, UT Metro Area",587190,24.6,158951,66742,3.6,130111,3.93,67.5,32.5,404403,4.3
39380,"Pueblo, CO Metro Area",163368,38.8,63489,42386,2.5,40751,3.1,63.2,36.8,129896,9.3
39420,"Pullman, WA Micro Area",47794,24.5,17657,41574,2.31,8528,2.89,44.5,55.5,41358,8.5
39460,"Punta Gorda, FL Metro Area",173236,58.1,74884,46511,2.26,47776,2.77,78.2,21.8,153842,8.9
39500,"Quincy, IL-MO Micro Area",76865,41.2,31215,48302,2.39,20137,2.98,70.8,29.2,61449,5.2
39540,"Racine, WI Metro Area",195101,40.1,75640,58334,2.51,51497,3.03,69.0,31.0,154261,5.8
