FIPS,Geography,2017 Population,2017 Median Age,2017 Total households,2017 Median HHIncome,2017 Average household size,2017 Total families,2017 Average family size,2017 Percent owner-occupied housing units,2017 Percent renter-occupied housing units,2017 Population 16 years and over,2017 Unemployment rate (Population 16 years and over)
45980,"Troy, AL Micro Area",33287,31.4,12284,35684,2.55,7320,3.25,59.2,40.8,27498,8.7
46020,"Truckee-Grass Valley, CA Micro Area",98838,49.8,40386,60610,2.42,25858,2.91,74.2,25.8,83915,7.3
46060,"Tucson, AZ Metro Area",1007257,38.2,398530,48676,2.45,245163,3.08,61.9,38.1,814161,8.4
46100,"Tullahoma-Manchester, TN Micro Area",101773,41.0,40514,47082,2.45,27561,2.98,71.2,28.8,81775,6.2
46140,"Tulsa, OK Metro Area",977869,36.8,378264,52210,2.55,250645,3.13,64.9,35.1,759764,5.9
46180,"Tupelo, MS Micro Area",139354,37.4,52143,43759,2.63,35906,3.19,69.7,30.3,107776,6.3
46220,"Tuscaloosa, AL Metro Area",239589,33.6,84791,48344,2.69,55755,3.31,64.6,35.4,194444,7.4
46300,"Twin Falls, ID Micro Area",105287,34.1,37837,48403,2.75,27166,3.23,67.2,32.8,78313,4.4
46340,"Tyler, TX Metro Area",222277,36.6,77801,50742,2.79,53391,3.39,65.9,34.1,173356,6.5
46380,"Ukiah, CA Micro Area",87497,42.4,34182,46528,2.5,20811,3.14,59.2,40.8,70894,10.4
46460,"Union City, TN-KY Micro Area",36918,42.7,15258,36442,2.36,10287,2.86,66.4,33.6,29814,8.2
46520,"Urban Honolulu, HI Metro Area",990060,37.6,311451,80078,3.06,219859,3.63,55.6,44.4,799878,4.5
46500,"Urbana, OH Micro Area",39005,42.1,15274,54495,2.5,10752,2.95,72.7,27.3,31287,7.3
46540,"Utica-Rome, NY Metro Area",295267,41.6,115659,50814,2.43,72659,3.04,67.7,32.3,239691,6.5
46620,"Uvalde, TX Micro Area",27015,33.8,8624,40781,3.08,5860,3.89,72.9,27.1,20552,5.9
46660,"Valdosta, GA Metro Area",143969,31.6,51901,38448,2.69,33279,3.32,55.7,44.3,113004,9.6
46700,"Vallejo-Fairfield, CA Metro Area",434981,37.7,147352,72950,2.88,106136,3.35,60.0,40.0,347462,8.5
46740,"Valley, AL Micro Area",33895,43.0,13694,37342,2.44,8690,3.11,66.5,33.5,27447,6.4
46780,"Van Wert, OH Micro Area",28262,41.4,11503,50974,2.43,8166,2.84,74.8,25.2,22437,5.3
46820,"Vermillion, SD Micro Area",13907,25.0,5302,41773,2.2,2599,2.84,51.6,48.4,11728,6.4
46860,"Vernal, UT Micro Area",36343,30.1,10616,67012,3.39,7714,4.03,76.3,23.7,25394,6.7
46900,"Vernon, TX Micro Area",12972,37.2,5155,43913,2.39,3320,2.97,64.8,35.2,10349,5.8
46980,"Vicksburg, MS Micro Area",56616,37.6,21746,38506,2.55,14171,3.27,64.4,35.6,44536,9.1
47020,"Victoria, TX Metro Area",99028,36.4,35489,55837,2.75,25096,3.24,66.8,33.2,76761,5.2
47080,"Vidalia, GA Micro Area",36122,36.9,13598,37279,2.57,9058,3.2,63.5,36.5,27904,9.4
47180,"Vincennes, IN Micro Area",37763,38.1,14986,44837,2.36,9739,2.91,64.0,36.0,30803,5.4
47220,"Vineland-Bridgeton, NJ Metro Area",154952,36.8,50596,50000,2.81,34759,3.35,63.7,36.3,122276,9.0
47240,"Vineyard Haven, MA Micro Area",17275,45.9,6139,67535,2.77,3870,3.46,77.7,22.3,14369,3.0
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1717708,35.7,638027,61889,2.59,427223,3.14,61.5,38.5,1374714,6.6
47300,"Visalia-Porterville, CA Metro Area",458809,30.6,135144,44871,3.35,105173,3.79,56.2,43.8,330467,10.0
47340,"Wabash, IN Micro Area",31848,42.0,12920,49052,2.32,8432,2.87,74.0,26.0,26012,5.5
47380,"Waco, TX Metro Area",263009,33.5,93613,45721,2.69,62188,3.28,58.8,41.2,205550,5.2
47420,"Wahpeton, ND-MN Micro Area",22731,40.1,9681,58051,2.2,6130,2.72,72.5,27.5,18365,2.2
47460,"Walla Walla, WA Metro Area",63861,38.2,24150,52184,2.42,15462,3.0,65.0,35.0,51673,6.1
47540,"Wapakoneta, OH Micro Area",45778,41.1,18342,59516,2.47,12790,2.96,75.8,24.2,35900,3.4
47580,"Warner Robins, GA Metro Area",188764,35.6,69206,52997,2.65,48117,3.18,64.2,35.8,147141,7.8
47620,"Warren, PA Micro Area",40345,46.7,17095,45781,2.32,10971,2.88,76.2,23.8,33432,5.7
47660,"Warrensburg, MO Micro Area",53941,29.9,19918,50689,2.48,12828,2.95,59.8,40.2,43523,6.9
47700,"Warsaw, IN Micro Area",78720,38.0,30265,57190,2.55,21625,2.96,74.8,25.2,61649,4.6
47920,"Washington Court House, OH Micro Area",28659,41.1,11729,44289,2.41,8011,2.86,62.1,37.9,22568,6.3
47780,"Washington, IN Micro Area",32777,34.6,11482,48355,2.8,8221,3.41,73.8,26.2,24213,5.4
47820,"Washington, NC Micro Area",47316,45.4,18978,41101,2.47,12456,3.07,70.8,29.2,38670,9.0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6090196,36.7,2170034,97148,2.76,1434070,3.37,63.4,36.6,4831659,5.5
47940,"Waterloo-Cedar Falls, IA Metro Area",170055,36.1,67411,53689,2.42,41582,2.98,69.3,30.7,136923,4.9
47980,"Watertown, SD Micro Area",27963,38.3,12011,52025,2.28,7378,2.84,65.1,34.9,21980,2.5
48020,"Watertown-Fort Atkinson, WI Micro Area",84586,40.1,32739,59215,2.47,22329,2.93,69.7,30.3,68209,4.3
48060,"Watertown-Fort Drum, NY Metro Area",116567,31.9,43206,50322,2.54,29204,3.07,55.6,44.4,90892,8.0
48100,"Wauchula, FL Micro Area",27326,34.9,7718,39063,3.26,5729,3.86,68.5,31.5,20817,9.1
48140,"Wausau, WI Metro Area",135293,40.7,54820,56509,2.44,36597,2.96,72.8,27.2,107639,3.8
48180,"Waycross, GA Micro Area",54829,39.1,20878,37897,2.5,14927,2.96,66.6,33.4,43073,5.2
48220,"Weatherford, OK Micro Area",29169,30.7,10458,48520,2.63,7132,3.1,59.3,40.7,22626,3.6
48260,"Weirton-Steubenville, WV-OH Metro Area",120337,45.3,50292,44576,2.32,32084,2.86,70.8,29.2,99875,6.9
48300,"Wenatchee, WA Metro Area",115723,38.8,42089,55236,2.71,29013,3.27,67.3,32.7,90107,5.1
48460,"West Plains, MO Micro Area",40139,40.2,16204,34984,2.44,10862,2.95,69.2,30.8,31533,5.0
48500,"West Point, MS Micro Area",19990,39.4,7681,34118,2.57,5451,3.12,71.8,28.2,15778,11.3
48540,"Wheeling, WV-OH Metro Area",143801,44.2,57451,45625,2.38,36513,2.98,74.4,25.6,119142,6.1
48580,"Whitewater-Elkhorn, WI Micro Area",102917,39.4,40246,58401,2.48,26760,2.98,68.4,31.6,83263,5.6
48660,"Wichita Falls, TX Metro Area",150940,35.3,55955,46558,2.42,36051,3.02,64.3,35.7,120608,4.8
48620,"Wichita, KS Metro Area",642339,35.8,245121,53953,2.57,160602,3.22,65.8,34.2,493324,5.3
48700,"Williamsport, PA Metro Area",115398,41.0,45991,50634,2.38,29787,2.93,69.9,30.1,94349,6.2
48780,"Williston, ND Micro Area",32916,31.3,12895,89874,2.5,7972,3.12,61.8,38.2,24995,2.0
48820,"Willmar, MN Micro Area",42577,39.5,16765,56604,2.47,11641,2.96,73.9,26.1,33391,3.0
48900,"Wilmington, NC Metro Area",277496,39.6,112726,51137,2.39,66342,3.04,61.4,38.6,228623,7.2
48940,"Wilmington, OH Micro Area",41869,39.8,16309,49997,2.49,11088,3.0,65.1,34.9,32994,6.6
48980,"Wilson, NC Micro Area",81379,40.4,32068,42095,2.49,21255,3.09,60.5,39.5,64297,8.1
49020,"Winchester, VA-WV Metro Area",134712,41.0,50691,60350,2.6,34383,3.17,68.4,31.6,107950,4.4
49080,"Winnemucca, NV Micro Area",17088,35.6,6261,69324,2.69,4055,3.39,76.9,23.1,12924,7.3
49100,"Winona, MN Micro Area",50992,34.5,19228,53975,2.44,11460,3.03,70.0,30.0,42785,5.1
49180,"Winston-Salem, NC Metro Area",658195,40.4,260518,47099,2.47,172069,3.05,67.6,32.4,525529,7.2
49220,"Wisconsin Rapids-Marshfield, WI Micro Area",73427,43.8,32223,51603,2.25,20208,2.81,72.9,27.1,59245,4.8
49260,"Woodward, OK Micro Area",21140,36.0,7366,57602,2.72,5264,3.27,71.6,28.4,16403,5.6
49300,"Wooster, OH Micro Area",115915,38.7,43353,54037,2.59,30490,3.12,73.0,27.0,90687,4.0
49340,"Worcester, MA-CT Metro Area",934923,40.2,350504,68311,2.57,231684,3.14,65.4,34.6,758777,6.3
49380,"Worthington, MN Micro Area",21854,36.0,7917,53267,2.71,5498,3.16,71.1,28.9,16619,6.5
49420,"Yakima, WA Metro Area",248279,32.7,81720,47470,2.99,58723,3.54,62.7,37.3,181605,7.5
49460,"Yankton, SD Micro Area",22660,42.1,9283,50029,2.25,5785,2.84,65.3,34.7,18459,2.8
49620,"York-Hanover, PA Metro Area",442216,41.0,169667,61707,2.55,117907,3.02,74.4,25.6,355090,5.4
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",548821,43.9,230549,44947,2.3,145081,2.9,70.3,29.7,450375,6.9
49700,"Yuba City, CA Metro Area",170227,34.3,58068,53101,2.89,41859,3.4,57.6,42.4,129113,10.3
49740,"Yuma, AZ Metro Area",204281,34.1,71670,43253,2.77,53669,3.23,67.5,32.5,157101,10.9
49780,"Zanesville, OH Micro Area",85933,40.2,34348,43325,2.45,22488,2.99,67.3,32.7,68677,6.9
49820,"Zapata, TX Micro Area",14415,29.4,4457,34550,3.23,3400,3.79,72.3,27.7,9987,12.4
